race_id,driver_id,constructor_id,grid,position,position_order,points,laps,status
1950_1,farina,alfa,1,1,1,9.0,70,Finished
1950_1,fagioli,alfa,2,2,2,6.0,70,Finished
1950_1,reg_parnell,alfa,4,3,3,4.0,70,Finished
1950_1,cabantous,lago,6,4,4,3.0,68,+2 Laps
1950_1,rosier,lago,9,5,5,2.0,68,+2 Laps
1950_1,gerard,era,13,6,6,0.0,67,+3 Laps
1950_1,harrison,era,15,7,7,0.0,67,+3 Laps
1950_1,etancelin,lago,14,8,8,0.0,65,+5 Laps
1950_1,hampshire,maserati,16,9,9,0.0,64,+6 Laps
1950_1,fry,maserati,20,10,10,0.0,64,+6 Laps
1950_1,shawe_taylor,maserati,20,10,10,0.0,64,+6 Laps
1950_1,claes,lago,21,11,11,0.0,64,+6 Laps
1950_1,fangio,alfa,3,R,12,0.0,62,Oil leak
1950_1,kelly,alta,19,R,13,0.0,57,Not classified
1950_1,bira,maserati,5,R,14,0.0,49,Out of fuel
1950_1,murray,maserati,18,R,15,0.0,44,Engine
1950_1,crossley,alta,17,R,16,0.0,43,Transmission
1950_1,graffenried,maserati,8,R,17,0.0,36,Engine
1950_1,chiron,maserati,11,R,18,0.0,26,Clutch
1950_1,martin,lago,7,R,19,0.0,8,Oil pressure
1950_1,rolt,era,10,R,20,0.0,5,Gearbox
1950_1,peter_walker,era,10,R,20,0.0,5,Gearbox
1950_1,leslie_johnson,era,12,R,21,0.0,2,Supercharger
1950_2,fangio,alfa,1,1,1,9.0,100,Finished
1950_2,ascari,ferrari,7,2,2,6.0,99,+1 Lap
1950_2,chiron,maserati,8,3,3,4.0,98,+2 Laps
1950_2,sommer,ferrari,9,4,4,3.0,97,+3 Laps
1950_2,bira,maserati,15,5,5,2.0,95,+5 Laps
1950_2,gerard,era,16,6,6,0.0,94,+6 Laps
1950_2,claes,lago,19,7,7,0.0,94,+6 Laps
1950_2,villoresi,ferrari,6,R,8,0.0,63,Axle
1950_2,etancelin,lago,4,R,9,0.0,38,Oil leak
1950_2,gonzalez,maserati,3,R,10,0.0,1,Accident
1950_2,farina,alfa,2,R,11,0.0,0,Accident
1950_2,fagioli,alfa,5,R,12,0.0,0,Accident
1950_2,rosier,lago,10,R,13,0.0,0,Accident
1950_2,manzon,simca,11,R,14,0.0,0,Accident
1950_2,graffenried,maserati,12,R,15,0.0,0,Accident
1950_2,trintignant,simca,13,R,16,0.0,0,Accident
1950_2,harrison,era,14,R,17,0.0,0,Accident
1950_2,rol,maserati,17,R,18,0.0,0,Accident
1950_2,schell,cooper,20,R,19,0.0,0,Collision
1950_2,whitehead,ferrari,21,W,20,0.0,0,Engine
1950_2,pian,maserati,18,W,21,0.0,0,Accident
1950_3,parsons,kurtis_kraft,5,1,1,9.0,138,Finished
1950_3,holland,deidt,10,2,2,6.0,137,+1 Lap
1950_3,rose,deidt,3,3,3,4.0,137,+1 Lap
1950_3,green,kurtis_kraft,12,4,4,3.0,137,+1 Lap
1950_3,bettenhausen,kurtis_kraft,9,5,5,1.0,136,+2 Laps
1950_3,chitwood,kurtis_kraft,9,5,5,1.0,136,+2 Laps
1950_3,wallard,moore,23,6,6,0.0,136,+2 Laps
1950_3,faulkner,kurtis_kraft,1,7,7,0.0,135,+3 Laps
1950_3,george_connor,lesovsky,4,8,8,0.0,135,+3 Laps
1950_3,paul_russo,nichels,19,9,9,0.0,135,+3 Laps
1950_3,flaherty,kurtis_kraft,11,10,10,0.0,135,+3 Laps
1950_3,fohr,marchese,16,11,11,0.0,133,+5 Laps
1950_3,darter,stevens,13,12,12,0.0,133,+5 Laps
1950_3,hellings,kurtis_kraft,26,13,13,0.0,132,+6 Laps
1950_3,mcgrath,kurtis_kraft,6,14,14,0.0,131,Spun off
1950_3,ruttman,lesovsky,24,15,15,0.0,130,+8 Laps
1950_3,hartley,langley,31,16,16,0.0,128,+10 Laps
1950_3,davies,ewing,27,17,17,0.0,128,+10 Laps
1950_3,mcdowell,kurtis_kraft,33,18,18,0.0,128,+10 Laps
1950_3,walt_brown,kurtis_kraft,20,19,19,0.0,127,+11 Laps
1950_3,webb,maserati,14,20,20,0.0,126,+12 Laps
1950_3,hoyt,kurtis_kraft,15,21,21,0.0,125,+13 Laps
1950_3,ader,rae,29,22,22,0.0,123,+15 Laps
1950_3,holmes,olson,30,23,23,0.0,123,Spun off
1950_3,rathmann,wetteroth,28,24,24,0.0,122,+16 Laps
1950_3,banks,maserati,21,R,25,0.0,112,Oil line
1950_3,schindler,snowberger,22,R,26,0.0,111,Transmission
1950_3,levrett,adams,17,R,27,0.0,108,Oil pressure
1950_3,cantrell,adams,17,R,27,0.0,108,Oil pressure
1950_3,agabashian,kurtis_kraft,2,R,28,0.0,64,Oil leak
1950_3,jackson,kurtis_kraft,32,R,29,0.0,52,Supercharger
1950_3,hanks,kurtis_kraft,25,R,30,0.0,42,Oil pressure
1950_3,bettenhausen,deidt,8,R,31,0.0,30,Wheel bearing
1950_3,dick_rathmann,watson,18,R,32,0.0,25,Stalled
1950_3,dinsmore,kurtis_kraft,7,R,33,0.0,10,Oil leak
1950_4,farina,alfa,2,1,1,9.0,42,Finished
1950_4,fagioli,alfa,3,2,2,6.0,42,Finished
1950_4,rosier,lago,10,3,3,4.0,41,+1 Lap
1950_4,bira,maserati,8,4,4,3.0,40,+2 Laps
1950_4,bonetto,maserati,12,5,5,2.0,40,+2 Laps
1950_4,graffenried,maserati,11,6,6,0.0,40,+2 Laps
1950_4,pagani,maserati,15,7,7,0.0,39,+3 Laps
1950_4,schell,lago,18,8,8,0.0,39,+3 Laps
1950_4,chiron,maserati,16,9,9,0.0,39,+3 Laps
1950_4,claes,lago,14,10,10,0.0,38,+4 Laps
1950_4,branca,maserati,17,11,11,0.0,35,+7 Laps
1950_4,fangio,alfa,1,R,12,0.0,32,Engine
1950_4,etancelin,lago,6,R,13,0.0,25,Gearbox
1950_4,martin,lago,9,R,14,0.0,19,Accident
1950_4,sommer,ferrari,13,R,15,0.0,19,Suspension
1950_4,villoresi,ferrari,4,R,16,0.0,9,Engine
1950_4,ascari,ferrari,5,R,17,0.0,4,Oil pump
1950_4,cabantous,lago,7,R,18,0.0,0,Accident
1950_5,fangio,alfa,2,1,1,8.0,35,Finished
